20171120195814,10.0.0.3,39174,10.0.0.6,2048,3,0.0-1.0,524288,4194304
20171120195814,10.0.0.3,39174,10.0.0.6,2048,3,1.0-2.0,131072,1048576
20171120195816,10.0.0.3,39174,10.0.0.6,2048,3,2.0-3.0,262144,2097152
20171120195816,10.0.0.3,39174,10.0.0.6,2048,3,3.0-4.0,131072,1048576
20171120195817,10.0.0.3,39174,10.0.0.6,2048,3,4.0-5.0,262144,2097152
20171120195818,10.0.0.3,39174,10.0.0.6,2048,3,5.0-6.0,262144,2097152
20171120195819,10.0.0.3,39174,10.0.0.6,2048,3,6.0-7.0,655360,5242880
20171120195821,10.0.0.3,39174,10.0.0.6,2048,3,7.0-8.0,524288,4194304
20171120195822,10.0.0.3,39174,10.0.0.6,2048,3,8.0-9.0,786432,6291456
20171120195822,10.0.0.3,39174,10.0.0.6,2048,3,9.0-10.0,0,0
20171120195822,10.0.0.3,39174,10.0.0.6,2048,3,0.0-10.1,3670016,2901240
