20171120195813,10.0.0.2,34304,10.0.0.6,2048,3,0.0-1.0,786432,6291456
20171120195814,10.0.0.2,34304,10.0.0.6,2048,3,1.0-2.0,262144,2097152
20171120195815,10.0.0.2,34304,10.0.0.6,2048,3,2.0-3.0,262144,2097152
20171120195816,10.0.0.2,34304,10.0.0.6,2048,3,3.0-4.0,262144,2097152
20171120195817,10.0.0.2,34304,10.0.0.6,2048,3,4.0-5.0,393216,3145728
20171120195818,10.0.0.2,34304,10.0.0.6,2048,3,5.0-6.0,262144,2097152
20171120195819,10.0.0.2,34304,10.0.0.6,2048,3,6.0-7.0,393216,3145728
20171120195820,10.0.0.2,34304,10.0.0.6,2048,3,7.0-8.0,524288,4194304
20171120195821,10.0.0.2,34304,10.0.0.6,2048,3,8.0-9.0,524288,4194304
20171120195822,10.0.0.2,34304,10.0.0.6,2048,3,9.0-10.0,786432,6291456
20171120195822,10.0.0.2,34304,10.0.0.6,2048,3,0.0-10.6,4587520,3470168
